Monitoring Stations,Month,Year,pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Dissolved Oxygen (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml),Wind,Condition,Day,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Date
Stn. I (Central West Bay),3,2013,8.16,0.09079999999999999,0.12940000000000002,0.1092,1.0,7.5,147.0,20927.0,6.0,3,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn II (East Bay),3,2013,8.180000000000001,0.0278,0.12940000000000002,0.10779999999999998,1.0,7.7,273.0,183033.0,6.0,3,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn. IV (Central Bay),3,2013,8.1,0.06040000000000001,0.1658,0.08720000000000001,2.0,7.6,226.0,25587.0,6.0,3,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn V (Northern West Bay),3,2013,7.68,0.08280000000000001,0.12940000000000002,0.0698,1.0,7.4,220.0,21154.0,6.0,3,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn VIII (South Bay),3,2013,8.38,0.0278,0.09659999999999999,0.10779999999999998,1.0,7.8,140.0,42537.0,6.0,3,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XV (San Pedro),3,2013,8.099999999999998,0.027800000000000002,0.12940000000000002,0.10779999999999998,1.0,7.6,845.0,9422.0,6.0,3,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn.XVI (Sta Rosa),3,2013,8.2,0.06040000000000001,0.1658,0.0872,2.0,7.6,365.0,6128.0,6.0,3,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XVII (Sanctuary),3,2013,8.04,0.015200000000000002,0.0758,0.0896,2.0,8.4,131.0,10877.0,6.0,3,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XVIII (Pagsanjan),3,2013,8.16,0.042800000000000005,0.1658,0.08180000000000001,2.0,7.8,441.0,44960.0,6.0,3,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn. I (Central West Bay),4,2013,7.94,0.041,0.1366,0.08120000000000001,2.0,8.1,52.0,6079.0,6.0,1,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn II (East Bay),4,2013,8.2,0.06040000000000001,0.1658,0.08719999999999999,2.0,7.6,31.0,27335.0,6.0,1,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn. IV (Central Bay),4,2013,8.120000000000001,0.0396,0.18680000000000002,0.055200000000000006,2.0,8.0,49.0,15513.0,6.0,1,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn V (Northern West Bay),4,2013,7.960000000000001,0.054000000000000006,0.3014,0.123,2.0,7.0,61.0,9997.0,6.0,1,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn VIII (South Bay),4,2013,7.720000000000001,0.0396,0.2988,0.1288,2.0,7.4,78.0,29964.0,6.0,1,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XV (San Pedro),4,2013,8.279999999999998,0.05840000000000001,0.2988,0.11800000000000002,2.0,7.5,340.0,29826.0,6.0,1,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn.XVI (Sta Rosa),4,2013,8.120000000000001,0.040600000000000004,0.13879999999999998,0.06160000000000001,2.0,8.2,210.0,13476.0,6.0,1,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XVII (Sanctuary),4,2013,7.94,0.0206,0.122,0.1146,3.0,8.1,73.0,25259.0,6.0,1,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XVIII (Pagsanjan),4,2013,8.52,0.022600000000000002,0.0624,0.135,2.0,8.9,21.0,29367.0,6.0,1,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn. I (Central West Bay),5,2013,7.94,0.0322,0.3014,0.0804,2.0,7.3,46.0,63351.0,6.0,1,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn II (East Bay),5,2013,8.040000000000001,0.0422,0.1446,0.0824,2.0,8.0,17.0,18576.0,6.0,1,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn. IV (Central Bay),5,2013,7.640000000000001,0.005,0.036000000000000004,0.0732,4.0,7.4,35.0,89329.0,6.0,1,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn V (Northern West Bay),5,2013,8.06,0.054000000000000006,0.3014,0.123,2.0,7.0,254.0,155543.0,6.0,1,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn VIII (South Bay),5,2013,8.120000000000001,0.047,0.18680000000000002,0.1036,2.0,8.0,225.0,17067.0,6.0,1,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XV (San Pedro),5,2013,8.3,0.006,0.1918,0.060799999999999986,3.0,7.8,150.0,13945.0,6.0,1,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn.XVI (Sta Rosa),5,2013,8.3,0.010199999999999999,0.1086,0.07999999999999999,3.0,7.8,173.0,50398.0,6.0,1,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XVII (Sanctuary),5,2013,8.36,0.014400000000000001,0.10400000000000001,0.10600000000000001,3.0,8.6,42.0,62831.0,6.0,1,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XVIII (Pagsanjan),5,2013,8.0,0.0162,0.0766,0.0942,2.0,8.4,12.0,22718.0,6.0,1,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn. I (Central West Bay),6,2013,8.14,0.023799999999999998,0.1574,0.1642,2.0,9.6,11.0,23653.0,17.0,3,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn II (East Bay),6,2013,8.679999999999998,0.017,0.060399999999999995,0.11539999999999999,2.0,8.9,16.0,15018.0,17.0,3,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn. IV (Central Bay),6,2013,8.8,0.020200000000000003,0.1816,0.1286,2.0,11.8,17.0,18846.0,17.0,3,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn V (Northern West Bay),6,2013,8.459999999999999,0.028600000000000004,0.11220000000000001,0.1436,4.0,11.1,83.0,4832.0,17.0,3,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn VIII (South Bay),6,2013,8.4,0.042800000000000005,0.1658,0.08180000000000001,2.0,7.8,284.0,17620.0,17.0,3,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XV (San Pedro),6,2013,7.9799999999999995,0.005200000000000001,0.1018,0.09419999999999999,4.0,8.8,112.0,2827.0,17.0,3,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn.XVI (Sta Rosa),6,2013,8.6,0.022,0.10740000000000001,0.1944,3.0,11.0,40.0,8327.0,17.0,3,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XVII (Sanctuary),6,2013,8.120000000000001,0.051000000000000004,0.1608,0.1008,1.0,8.4,46.0,62309.0,17.0,3,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XVIII (Pagsanjan),6,2013,7.980000000000001,0.051000000000000004,0.10800000000000001,0.1008,1.0,8.4,11.0,22266.0,17.0,3,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn. I (Central West Bay),7,2013,8.18,0.014400000000000001,0.10440000000000002,0.067,3.0,8.4,13.0,180839.0,7.0,3,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn II (East Bay),7,2013,8.280000000000001,0.0352,0.2326,0.09620000000000001,2.0,7.5,33.0,24495.0,7.0,3,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn. IV (Central Bay),7,2013,7.619999999999999,0.015000000000000003,0.19640000000000005,0.07500000000000001,3.0,7.3,6.0,60814.0,7.0,3,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn V (Northern West Bay),7,2013,7.859999999999999,0.046200000000000005,0.0828,0.09359999999999999,2.0,6.2,107.0,34779.0,7.0,3,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn VIII (South Bay),7,2013,8.26,0.0558,0.1726,0.0984,2.0,7.6,83.0,45439.0,7.0,3,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XV (San Pedro),7,2013,7.859999999999999,0.046200000000000005,0.1224,0.09359999999999999,2.0,6.2,66.0,47418.0,7.0,3,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn.XVI (Sta Rosa),7,2013,7.9799999999999995,0.057600000000000005,0.2306,0.1296,2.0,7.2,29.0,42090.0,7.0,3,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XVII (Sanctuary),7,2013,8.479999999999999,0.0518,0.016000000000000004,0.11299999999999999,4.0,8.6,40.0,54415.0,7.0,3,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XVIII (Pagsanjan),7,2013,8.459999999999999,0.017599999999999998,0.16040000000000001,0.1046,3.0,8.7,32.0,33276.0,7.0,3,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn. I (Central West Bay),8,2013,7.88,0.054000000000000006,0.2532,0.123,2.0,7.0,26.0,33640.0,5.0,2,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn II (East Bay),8,2013,8.120000000000001,0.0518,0.1058,0.10700000000000001,1.0,8.0,245.0,41147.0,5.0,2,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn. IV (Central Bay),8,2013,7.760000000000001,0.0716,0.3014,0.13140000000000002,2.0,7.2,22.0,106506.0,5.0,2,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn V (Northern West Bay),8,2013,7.9,0.007200000000000001,0.2,0.0458,5.0,6.6,74.0,10804.0,5.0,2,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn VIII (South Bay),8,2013,7.660000000000001,0.0124,0.3064,0.058600000000000006,3.0,7.4,83.0,68923.0,5.0,2,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XV (San Pedro),8,2013,7.959999999999999,0.0458,0.2632,0.08499999999999999,3.0,7.1,46.0,16574.0,5.0,2,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn.XVI (Sta Rosa),8,2013,7.959999999999999,0.005,0.3014,0.053200000000000004,3.0,7.0,71.0,17226.0,5.0,2,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XVII (Sanctuary),8,2013,8.079999999999998,0.074,0.1686,0.0748,3.0,7.8,86.0,81699.0,5.0,2,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XVIII (Pagsanjan),8,2013,7.9799999999999995,0.0344,0.092,0.09480000000000001,2.0,8.8,116.0,43108.0,5.0,2,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn. I (Central West Bay),9,2013,7.92,0.047,0.18680000000000002,0.1036,2.0,8.0,84.0,48273.0,17.0,3,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn II (East Bay),9,2013,7.859999999999999,0.046200000000000005,0.1224,0.09359999999999999,2.0,6.2,349.0,16600.0,17.0,3,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn. IV (Central Bay),9,2013,8.120000000000001,0.05800000000000001,0.09659999999999999,0.11239999999999999,1.0,7.8,49.0,105624.0,17.0,3,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn V (Northern West Bay),9,2013,8.0,0.0756,0.1224,0.1356,2.0,5.5,280.0,6635.0,17.0,3,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn VIII (South Bay),9,2013,8.5,0.06040000000000001,0.1658,0.08720000000000001,2.0,7.7,144.0,13570.0,17.0,3,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XV (San Pedro),9,2013,8.0,0.04240000000000001,0.17160000000000003,0.12000000000000002,1.0,6.5,45.0,27126.0,17.0,3,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn.XVI (Sta Rosa),9,2013,8.02,0.06040000000000001,0.1658,0.08720000000000001,2.0,7.6,114.0,77778.0,17.0,3,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XVII (Sanctuary),9,2013,7.959999999999999,0.0702,0.1512,0.12940000000000002,1.0,9.2,97.0,159694.0,17.0,3,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XVIII (Pagsanjan),9,2013,8.14,0.0178,0.1078,0.136,2.0,9.6,188.0,45049.0,17.0,3,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn. I (Central West Bay),10,2013,8.46,0.014400000000000001,0.0662,0.09480000000000001,2.0,8.6,186.0,37646.0,13.0,2,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn II (East Bay),10,2013,8.219999999999999,0.0518,0.1058,0.087,1.0,8.2,185.0,65763.0,13.0,2,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn. IV (Central Bay),10,2013,8.06,0.054000000000000006,0.3014,0.123,2.0,7.0,268.0,17056.0,13.0,2,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn V (Northern West Bay),10,2013,7.74,0.007200000000000001,0.3014,0.0458,4.0,6.2,492.0,98174.0,13.0,2,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn VIII (South Bay),10,2013,7.820000000000002,0.0422,0.144,0.1618,2.0,9.2,412.0,28053.0,13.0,2,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XV (San Pedro),10,2013,8.46,0.014800000000000002,0.18080000000000002,0.1008,3.0,8.6,77.0,16557.0,13.0,2,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn.XVI (Sta Rosa),10,2013,7.959999999999999,0.022600000000000002,0.2996,0.05539999999999999,3.0,7.5,397.0,31325.0,13.0,2,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XVII (Sanctuary),10,2013,8.459999999999999,0.022200000000000004,0.0758,0.1096,2.0,8.6,59.0,43209.0,13.0,2,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XVIII (Pagsanjan),10,2013,7.980000000000001,0.0344,0.092,0.09480000000000001,2.0,8.8,71.0,76126.0,13.0,2,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn. I (Central West Bay),11,2013,8.22,0.039999999999999994,0.18680000000000002,0.05800000000000001,3.0,8.0,170.0,27324.0,13.0,2,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn II (East Bay),11,2013,8.12,0.0396,0.18680000000000002,0.055200000000000006,2.0,8.0,126.0,34133.0,13.0,2,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn. IV (Central Bay),11,2013,7.899999999999999,0.014000000000000002,0.23160000000000003,0.0608,3.0,7.7,158.0,975862.0,13.0,2,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn V (Northern West Bay),11,2013,8.08,0.04,0.18680000000000002,0.057999999999999996,3.0,8.0,259.0,10851.0,13.0,2,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn VIII (South Bay),11,2013,7.94,0.0396,0.18680000000000002,0.055200000000000006,2.0,8.0,492.0,39168.0,13.0,2,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XV (San Pedro),11,2013,7.94,0.005,0.7134,0.05319999999999999,4.0,7.0,159.0,36118.0,13.0,2,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn.XVI (Sta Rosa),11,2013,7.92,0.0396,0.18680000000000002,0.055200000000000006,2.0,8.0,854.0,86204.0,13.0,2,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XVII (Sanctuary),11,2013,7.92,0.047,0.18680000000000002,0.1036,2.0,8.0,66.0,40082.0,13.0,2,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XVIII (Pagsanjan),11,2013,7.92,0.047400000000000005,0.165,0.06999999999999999,2.0,8.0,83.0,46425.0,13.0,2,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn. I (Central West Bay),12,2013,7.639999999999999,0.005,0.2988,0.0498,3.0,7.4,256.0,11880.0,18.0,2,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn II (East Bay),12,2013,7.9799999999999995,0.015200000000000002,0.092,0.0912,2.0,8.8,126.0,37826.0,18.0,2,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn. IV (Central Bay),12,2013,7.959999999999999,0.005,0.3014,0.053200000000000004,3.0,7.0,203.0,13893.0,18.0,2,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn V (Northern West Bay),12,2013,8.040000000000001,0.010599999999999998,0.11539999999999999,0.0528,4.0,8.0,294.0,6434.0,18.0,2,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn VIII (South Bay),12,2013,8.24,0.040600000000000004,0.14140000000000003,0.0616,2.0,8.2,926.0,64933.0,18.0,2,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn XV (San Pedro),12,2013,7.94,0.005,0.1882,0.046599999999999996,4.0,8.0,412.0,19389.0,18.0,2,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn.XVI (Sta Rosa),12,2013,7.9799999999999995,0.004200000000000001,0.12080000000000002,0.07759999999999999,4.0,8.5,554.0,31266.0,18.0,2,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn XVII (Sanctuary),12,2013,8.16,0.042800000000000005,0.16860000000000003,0.08180000000000001,2.0,7.8,59.0,43853.0,18.0,2,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn XVIII (Pagsanjan),12,2013,8.16,0.029000000000000005,0.123,0.09580000000000001,2.0,8.2,73.0,43290.0,18.0,2,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn. I (Central West Bay),1,2014,8.4,0.042800000000000005,0.1658,0.08180000000000001,2.0,7.8,222.0,8223.0,6.0,1,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn II (East Bay),1,2014,8.040000000000001,0.024200000000000003,0.1658,0.054000000000000006,3.0,7.8,197.0,38128.0,6.0,1,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn. IV (Central Bay),1,2014,7.94,0.0322,0.3014,0.0804,2.0,7.3,57.0,3312.0,6.0,1,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn V (Northern West Bay),1,2014,7.720000000000001,0.0396,0.2988,0.1288,2.0,7.4,168.0,21456.0,6.0,1,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn VIII (South Bay),1,2014,8.16,0.042800000000000005,0.1658,0.08180000000000001,2.0,7.8,488.0,27900.0,6.0,1,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
