Year,Month,Day,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2013,January,14,9:00 pm,26ʡC,21ʡC,74ʡ%,ESE,15ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Fair
2013,January,14,10:00 pm,26ʡC,21ʡC,74ʡ%,ESE,7ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Fair
2013,January,14,11:00 pm,25ʡC,21ʡC,78ʡ%,ESE,15ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Fair
2013,February,4,12:00 am,25ʡC,20ʡC,74ʡ%,ESE,7ʡkm/h,0ʡkm/h,"1,014.19ʡhPa",0.0ʡmm,Fair
2013,February,4,1:00 am,25ʡC,21ʡC,78ʡ%,E,11ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Fair
2013,February,4,2:00 am,25ʡC,21ʡC,78ʡ%,E,6ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Fair
2013,February,4,3:00 am,25ʡC,20ʡC,74ʡ%,ESE,7ʡkm/h,0ʡkm/h,"1,012.20ʡhPa",0.0ʡmm,Fair
2013,February,4,4:00 am,24ʡC,20ʡC,78ʡ%,VAR,4ʡkm/h,0ʡkm/h,"1,012.20ʡhPa",0.0ʡmm,Fair
2013,February,4,5:00 am,24ʡC,20ʡC,78ʡ%,NNE,6ʡkm/h,0ʡkm/h,"1,012.20ʡhPa",0.0ʡmm,Fair
2013,February,4,6:00 am,24ʡC,20ʡC,78ʡ%,NE,9ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Fair
2013,February,4,7:00 am,24ʡC,19ʡC,73ʡ%,ENE,7ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Fair
2013,February,4,8:00 am,26ʡC,20ʡC,69ʡ%,E,7ʡkm/h,0ʡkm/h,"1,014.19ʡhPa",0.0ʡmm,Fair
2013,February,4,9:00 am,28ʡC,20ʡC,62ʡ%,E,17ʡkm/h,0ʡkm/h,"1,014.19ʡhPa",0.0ʡmm,Fair
2013,February,4,10:00 am,30ʡC,20ʡC,55ʡ%,ESE,19ʡkm/h,0ʡkm/h,"1,014.19ʡhPa",0.0ʡmm,Fair
2013,February,4,11:00 am,31ʡC,19ʡC,49ʡ%,ESE,24ʡkm/h,0ʡkm/h,"1,014.19ʡhPa",0.0ʡmm,Fair
2013,February,4,12:00 pm,31ʡC,20ʡC,52ʡ%,ESE,22ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Fair
2013,February,4,1:00 pm,31ʡC,19ʡC,49ʡ%,ESE,22ʡkm/h,0ʡkm/h,"1,011.20ʡhPa",0.0ʡmm,Fair
2013,February,4,2:00 pm,31ʡC,20ʡC,52ʡ%,E,22ʡkm/h,0ʡkm/h,"1,011.20ʡhPa",0.0ʡmm,Fair
2013,February,4,3:00 pm,32ʡC,21ʡC,52ʡ%,ESE,19ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Fair
2013,February,4,4:00 pm,31ʡC,19ʡC,49ʡ%,ESE,22ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Fair
2013,February,4,5:00 pm,30ʡC,19ʡC,51ʡ%,ESE,26ʡkm/h,0ʡkm/h,"1,011.20ʡhPa",0.0ʡmm,Fair
2013,February,4,7:00 pm,28ʡC,21ʡC,66ʡ%,E,17ʡkm/h,0ʡkm/h,"1,012.20ʡhPa",0.0ʡmm,Fair
2013,February,4,8:00 pm,27ʡC,21ʡC,70ʡ%,E,11ʡkm/h,0ʡkm/h,"1,014.19ʡhPa",0.0ʡmm,Fair
2013,February,4,9:00 pm,27ʡC,21ʡC,70ʡ%,E,11ʡkm/h,0ʡkm/h,"1,014.19ʡhPa",0.0ʡmm,Fair
2013,February,4,10:00 pm,26ʡC,21ʡC,74ʡ%,E,7ʡkm/h,0ʡkm/h,"1,014.19ʡhPa",0.0ʡmm,Fair
2013,February,4,11:00 pm,26ʡC,21ʡC,74ʡ%,ESE,9ʡkm/h,0ʡkm/h,"1,014.19ʡhPa",0.0ʡmm,Fair
2013,March,4,12:00 am,25ʡC,21ʡC,78ʡ%,VAR,4ʡkm/h,0ʡkm/h,"1,012.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,1:00 am,24ʡC,21ʡC,83ʡ%,WNW,6ʡkm/h,0ʡkm/h,"1,012.20ʡhPa",0.0ʡmm,Fair
2013,March,4,2:00 am,25ʡC,21ʡC,78ʡ%,SSE,4ʡkm/h,0ʡkm/h,"1,011.20ʡhPa",0.0ʡmm,Fair
2013,March,4,3:00 am,24ʡC,22ʡC,89ʡ%,CALM,0ʡkm/h,0ʡkm/h,"1,011.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,4:00 am,25ʡC,21ʡC,78ʡ%,VAR,2ʡkm/h,0ʡkm/h,"1,011.20ʡhPa",0.0ʡmm,Fair
2013,March,4,5:00 am,24ʡC,22ʡC,89ʡ%,VAR,2ʡkm/h,0ʡkm/h,"1,011.20ʡhPa",0.0ʡmm,Fair
2013,March,4,6:00 am,24ʡC,21ʡC,83ʡ%,CALM,0ʡkm/h,0ʡkm/h,"1,012.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,7:00 am,26ʡC,22ʡC,78ʡ%,VAR,4ʡkm/h,0ʡkm/h,"1,012.20ʡhPa",0.0ʡmm,Fair
2013,March,4,8:00 am,26ʡC,22ʡC,78ʡ%,ENE,6ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,9:00 am,27ʡC,22ʡC,74ʡ%,ENE,9ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Mostly Cloudy
2013,March,4,10:00 am,27ʡC,21ʡC,70ʡ%,ESE,11ʡkm/h,0ʡkm/h,"1,014.19ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,11:00 am,28ʡC,20ʡC,62ʡ%,NE,7ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Mostly Cloudy
2013,March,4,12:00 pm,28ʡC,21ʡC,66ʡ%,WNW,17ʡkm/h,0ʡkm/h,"1,012.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,1:00 pm,29ʡC,20ʡC,58ʡ%,S,13ʡkm/h,0ʡkm/h,"1,011.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,2:00 pm,29ʡC,19ʡC,55ʡ%,E,13ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,3:00 pm,28ʡC,20ʡC,62ʡ%,VAR,15ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,4:00 pm,28ʡC,23ʡC,74ʡ%,SE,9ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Mostly Cloudy
2013,March,4,5:00 pm,28ʡC,18ʡC,54ʡ%,E,17ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Mostly Cloudy
2013,March,4,6:00 pm,27ʡC,20ʡC,65ʡ%,ESE,13ʡkm/h,0ʡkm/h,"1,011.20ʡhPa",0.0ʡmm,Mostly Cloudy
2013,March,4,7:00 pm,26ʡC,19ʡC,65ʡ%,E,13ʡkm/h,0ʡkm/h,"1,012.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,8:00 pm,26ʡC,19ʡC,65ʡ%,ESE,11ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,9:00 pm,26ʡC,19ʡC,65ʡ%,ESE,13ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,March,4,10:00 pm,25ʡC,20ʡC,74ʡ%,SE,11ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Fair
2013,March,4,11:00 pm,25ʡC,20ʡC,74ʡ%,ESE,11ʡkm/h,0ʡkm/h,"1,013.20ʡhPa",0.0ʡmm,Fair
2013,April,1,12:00 am,29ʡC,23ʡC,70ʡ%,VAR,9ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Fair
2013,April,1,1:00 am,28ʡC,23ʡC,74ʡ%,ESE,11ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,April,1,2:00 am,28ʡC,22ʡC,70ʡ%,VAR,4ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Mostly Cloudy
2013,April,1,3:00 am,28ʡC,22ʡC,70ʡ%,SW,4ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,April,1,4:00 am,27ʡC,22ʡC,74ʡ%,VAR,4ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Fair
2013,April,1,5:00 am,27ʡC,22ʡC,74ʡ%,VAR,2ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Fair
2013,April,1,6:00 am,27ʡC,22ʡC,74ʡ%,VAR,4ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Fair
2013,April,1,7:00 am,28ʡC,22ʡC,70ʡ%,E,9ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Fair
2013,April,1,8:00 am,30ʡC,22ʡC,62ʡ%,ESE,9ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Fair
2013,April,1,9:00 am,31ʡC,22ʡC,58ʡ%,ESE,11ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Fair
2013,April,1,10:00 am,31ʡC,23ʡC,62ʡ%,ESE,15ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Fair
2013,April,1,11:00 am,33ʡC,22ʡC,52ʡ%,ESE,20ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Fair
2013,April,1,12:00 pm,34ʡC,23ʡC,52ʡ%,SE,20ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Fair
2013,April,1,1:00 pm,34ʡC,22ʡC,49ʡ%,SE,20ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,April,1,2:00 pm,34ʡC,22ʡC,49ʡ%,SE,19ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,April,1,3:00 pm,34ʡC,22ʡC,49ʡ%,SE,19ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,April,1,4:00 pm,33ʡC,22ʡC,52ʡ%,SE,19ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Fair
2013,April,1,5:00 pm,33ʡC,23ʡC,55ʡ%,SE,19ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Fair
2013,April,1,6:00 pm,32ʡC,22ʡC,55ʡ%,ESE,15ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,April,1,7:00 pm,30ʡC,22ʡC,62ʡ%,ESE,15ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,April,1,8:00 pm,30ʡC,22ʡC,62ʡ%,ESE,17ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Fair
2013,April,1,9:00 pm,30ʡC,22ʡC,62ʡ%,ESE,11ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Fair
2013,April,1,10:00 pm,29ʡC,21ʡC,62ʡ%,ESE,13ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Fair
2013,April,1,11:00 pm,29ʡC,23ʡC,70ʡ%,ESE,17ʡkm/h,0ʡkm/h,"1,010.20ʡhPa",0.0ʡmm,Fair
2013,May,6,12:00 am,29ʡC,24ʡC,74ʡ%,ESE,15ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,May,6,1:00 am,29ʡC,24ʡC,74ʡ%,ESE,15ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,May,6,2:00 am,29ʡC,24ʡC,74ʡ%,ESE,7ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Fair
2013,May,6,3:00 am,28ʡC,23ʡC,74ʡ%,E,11ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Fair
2013,May,6,4:00 am,28ʡC,23ʡC,74ʡ%,E,6ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Fair
2013,May,6,5:00 am,28ʡC,23ʡC,74ʡ%,ESE,6ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Fair
2013,May,6,6:00 am,28ʡC,23ʡC,74ʡ%,E,6ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Fair
2013,May,6,7:00 am,29ʡC,23ʡC,70ʡ%,ENE,13ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,May,6,8:00 am,31ʡC,23ʡC,62ʡ%,E,0ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,May,6,9:00 am,32ʡC,22ʡC,55ʡ%,ESE,11ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,May,6,10:00 am,31ʡC,22ʡC,58ʡ%,E,15ʡkm/h,0ʡkm/h,"1,009.20ʡhPa",0.0ʡmm,Fair
2013,May,6,11:00 am,32ʡC,22ʡC,55ʡ%,ESE,11ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,May,6,12:00 pm,34ʡC,22ʡC,49ʡ%,VAR,17ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,May,6,1:00 pm,34ʡC,23ʡC,52ʡ%,SE,15ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Fair
2013,May,6,2:00 pm,35ʡC,23ʡC,49ʡ%,SSE,13ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Fair
2013,May,6,3:00 pm,35ʡC,23ʡC,49ʡ%,VAR,17ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Fair
2013,May,6,4:00 pm,35ʡC,21ʡC,44ʡ%,ESE,17ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Fair
2013,May,6,5:00 pm,35ʡC,19ʡC,39ʡ%,ESE,19ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Fair
2013,May,6,6:00 pm,33ʡC,20ʡC,46ʡ%,ESE,17ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Fair
2013,May,6,7:00 pm,32ʡC,20ʡC,49ʡ%,E,15ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Fair
2013,May,6,8:00 pm,31ʡC,21ʡC,55ʡ%,E,17ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Fair
2013,May,6,9:00 pm,31ʡC,20ʡC,52ʡ%,E,13ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Fair
2013,May,6,10:00 pm,30ʡC,22ʡC,62ʡ%,ESE,11ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,May,6,11:00 pm,29ʡC,23ʡC,70ʡ%,ESE,11ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Fair
2013,June,3,12:00 am,30ʡC,26ʡC,79ʡ%,S,6ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,June,3,1:00 am,30ʡC,26ʡC,79ʡ%,SSE,37ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Mostly Cloudy / Windy
2013,June,3,2:00 am,29ʡC,26ʡC,84ʡ%,VAR,4ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,June,3,3:00 am,29ʡC,26ʡC,84ʡ%,VAR,4ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,4:00 am,28ʡC,26ʡC,89ʡ%,E,6ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,5:00 am,28ʡC,25ʡC,84ʡ%,VAR,2ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,6:00 am,27ʡC,26ʡC,94ʡ%,NNW,6ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Cloudy
2013,June,3,7:00 am,29ʡC,27ʡC,89ʡ%,SE,6ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,June,3,8:00 am,32ʡC,25ʡC,66ʡ%,VAR,7ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,June,3,9:00 am,32ʡC,25ʡC,66ʡ%,ESE,9ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,10:00 am,33ʡC,24ʡC,59ʡ%,VAR,9ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,11:00 am,34ʡC,24ʡC,56ʡ%,VAR,9ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,12:00 pm,35ʡC,24ʡC,53ʡ%,VAR,7ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,1:00 pm,34ʡC,25ʡC,59ʡ%,WNW,13ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Fair
2013,June,3,2:00 pm,34ʡC,26ʡC,63ʡ%,WNW,13ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Fair
2013,June,3,3:00 pm,34ʡC,25ʡC,59ʡ%,N,9ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Fair
2013,June,3,4:00 pm,34ʡC,25ʡC,59ʡ%,WNW,13ʡkm/h,0ʡkm/h,"1,003.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,5:00 pm,34ʡC,25ʡC,59ʡ%,W,15ʡkm/h,0ʡkm/h,"1,003.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,6:00 pm,33ʡC,24ʡC,59ʡ%,SSE,9ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,7:00 pm,32ʡC,25ʡC,66ʡ%,S,11ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,8:00 pm,32ʡC,25ʡC,66ʡ%,SSW,9ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Fair
2013,June,3,9:00 pm,32ʡC,26ʡC,70ʡ%,SE,7ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Fair
2013,June,3,10:00 pm,29ʡC,24ʡC,74ʡ%,W,13ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,June,3,11:00 pm,30ʡC,25ʡC,74ʡ%,VAR,6ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,July,1,12:00 am,28ʡC,25ʡC,84ʡ%,SE,9ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,July,1,1:00 am,27ʡC,25ʡC,89ʡ%,E,6ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,July,1,2:00 am,27ʡC,25ʡC,89ʡ%,SE,6ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,July,1,3:00 am,27ʡC,24ʡC,84ʡ%,CALM,0ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,July,1,4:00 am,27ʡC,24ʡC,84ʡ%,VAR,2ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,July,1,5:00 am,26ʡC,25ʡC,94ʡ%,E,2ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,6:00 am,27ʡC,24ʡC,84ʡ%,E,6ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,7:00 am,27ʡC,25ʡC,89ʡ%,ENE,7ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,8:00 am,29ʡC,24ʡC,74ʡ%,,0ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,9:00 am,30ʡC,24ʡC,70ʡ%,E,19ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,10:00 am,31ʡC,24ʡC,66ʡ%,ESE,15ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,11:00 am,32ʡC,24ʡC,62ʡ%,ESE,15ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Fair
2013,July,1,12:00 pm,33ʡC,23ʡC,55ʡ%,SE,15ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Fair
2013,July,1,1:00 pm,33ʡC,24ʡC,59ʡ%,SE,19ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Fair
2013,July,1,2:00 pm,33ʡC,24ʡC,59ʡ%,ESE,17ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Fair
2013,July,1,3:00 pm,33ʡC,25ʡC,63ʡ%,SE,15ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Fair
2013,July,1,4:00 pm,34ʡC,24ʡC,56ʡ%,SE,13ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,4:15 pm,28ʡC,24ʡC,79ʡ%,E,28ʡkm/h,54ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,July,1,5:00 pm,28ʡC,25ʡC,84ʡ%,E,6ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,6:00 pm,30ʡC,26ʡC,79ʡ%,SSE,4ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,7:00 pm,29ʡC,25ʡC,79ʡ%,SE,7ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,July,1,8:00 pm,29ʡC,25ʡC,79ʡ%,E,7ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,9:00 pm,29ʡC,25ʡC,79ʡ%,ESE,7ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,10:00 pm,29ʡC,25ʡC,79ʡ%,SE,4ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Partly Cloudy
2013,July,1,11:00 pm,28ʡC,25ʡC,84ʡ%,CALM,0ʡkm/h,0ʡkm/h,"1,008.20ʡhPa",0.0ʡmm,Fair
2013,August,5,12:00 am,28ʡC,24ʡC,79ʡ%,E,9ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,1:00 am,28ʡC,24ʡC,79ʡ%,E,6ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,2:00 am,27ʡC,25ʡC,89ʡ%,E,6ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,3:00 am,27ʡC,24ʡC,84ʡ%,VAR,4ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,4:00 am,27ʡC,24ʡC,84ʡ%,E,15ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,5:00 am,26ʡC,25ʡC,94ʡ%,ENE,11ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Cloudy
2013,August,5,6:00 am,27ʡC,25ʡC,89ʡ%,E,9ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,7:00 am,27ʡC,25ʡC,89ʡ%,ENE,7ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,8:00 am,28ʡC,25ʡC,84ʡ%,ENE,9ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,9:00 am,29ʡC,24ʡC,74ʡ%,ENE,17ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,10:00 am,31ʡC,24ʡC,66ʡ%,E,17ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,August,5,11:00 am,31ʡC,24ʡC,66ʡ%,ESE,22ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,August,5,12:00 pm,31ʡC,24ʡC,66ʡ%,E,19ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,1:00 pm,31ʡC,24ʡC,66ʡ%,E,20ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,2:00 pm,32ʡC,23ʡC,59ʡ%,E,24ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,3:00 pm,33ʡC,23ʡC,55ʡ%,E,24ʡkm/h,44ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,4:00 pm,32ʡC,23ʡC,59ʡ%,E,24ʡkm/h,0ʡkm/h,"1,003.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,5:00 pm,31ʡC,24ʡC,66ʡ%,E,20ʡkm/h,0ʡkm/h,"1,003.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,6:00 pm,30ʡC,24ʡC,70ʡ%,ESE,19ʡkm/h,0ʡkm/h,"1,004.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,August,5,7:00 pm,30ʡC,24ʡC,70ʡ%,,0ʡkm/h,0ʡkm/h,"1,005.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,8:00 pm,29ʡC,24ʡC,74ʡ%,ESE,13ʡkm/h,0ʡkm/h,"1,006.21ʡhPa",0.0ʡmm,Partly Cloudy
2013,August,5,9:00 pm,29ʡC,25ʡC,79ʡ%,ESE,15ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Mostly Cloudy
2013,August,5,10:00 pm,29ʡC,25ʡC,79ʡ%,E,13ʡkm/h,0ʡkm/h,"1,007.21ʡhPa",0.0ʡmm,Partly Cloudy
